Date & Time,Host name,amount of jobs,duration,duration in millis,jobs / sec,JobRunr type,JobRunr version,Java version,StorageProvider,Git Branch,Queue Type
2024-01-30T22:34:14.422419Z,Ronalds-MacBook-Pro.local,500000,PT1M7.086S,67086,7462.69,,,,,,TurboQueue
2024-01-30T22:40:07.252750Z,Ronalds-MacBook-Pro.local,500000,PT1M3.893S,63893,7936.51,,,,,,SmartQueue
2024-01-31T08:41:44.131646Z,Ronalds-MacBook-Pro.local,500000,PT1M12.339S,72339,6944.44,,,,,,TurboQueue
2024-01-31T08:50:50.871388Z,Ronalds-MacBook-Pro.local,500000,PT1M8.518S,68518,7352.94,,,,,,TurboQueue
2024-01-31T14:35:26.327663Z,Ronalds-MacBook-Pro.local,500000,PT1M3.784S,63784,7936.51,,,,,,TurboQueue
2024-01-31T15:00:29.095823Z,Ronalds-MacBook-Pro.local,500000,PT1M7.376S,67376,7462.69,,,,,,TurboQueue
2024-01-31T17:57:25.825815Z,Ronalds-MBP.fritz.box,500000,PT1M8.603S,68603,7352.94,,,,,,TurboQueue
2024-01-31T18:54:20.597610Z,Ronalds-MBP.fritz.box,500000,PT1M7.248S,67248,7462.69,,,21+35-2513,,,TurboQueue
2024-02-01T12:04:33.343426Z,Ronalds-MacBook-Pro.local,500000,PT1M35.444S,95444,5263.16,,,21+35-2513,,ref: refs/heads/v7,
2024-02-02T09:03:26.699712820Z,Ubuntu-2204-jammy-amd64-base,500000,PT44.699S,44699,11363.64,,,17.0.9+9,,ref: refs/heads/feature/smart-queue,
2024-02-02T09:23:22.929580861Z,Ubuntu-2204-jammy-amd64-base,500000,PT2M6.984S,126984,3968.25,,,17.0.9+9,,ref: refs/heads/v7,
2024-02-02T10:09:01.933289881Z,Ubuntu-2204-jammy-amd64-base,500000,PT43.829S,43829,11627.91,,,17.0.9+9,,ref: refs/heads/feature/smart-queue,
2024-02-02T10:13:15.869600094Z,Ubuntu-2204-jammy-amd64-base,500000,PT43.604S,43604,11627.91,,,17.0.9+9,,ref: refs/heads/feature/smart-queue,
2024-02-02T10:20:20.479667309Z,Ubuntu-2204-jammy-amd64-base,500000,PT43.797S,43797,11627.91,,,17.0.9+9,,ref: refs/heads/feature/smart-queue,
2024-02-02T10:27:49.079494640Z,Ubuntu-2204-jammy-amd64-base,500000,PT44.029S,44029,11356.15,,,17.0.9+9,,ref: refs/heads/feature/smart-queue,
2024-02-02T10:30:07.100167511Z,Ubuntu-2204-jammy-amd64-base,500000,PT43.694S,43694,11443.22,,,17.0.9+9,,ref: refs/heads/feature/smart-queue,
2024-02-02T11:29:23.578105486Z,Ubuntu-2204-jammy-amd64-base,500000,PT43.109S,43109,11598.51,,,17.0.9+9,,ref: refs/heads/feature/smart-queue,
2024-02-02T11:43:42.306332357Z,Ubuntu-2204-jammy-amd64-base,500000,PT39.088S,39088,12791.65,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-02T11:56:47.605197051Z,Ubuntu-2204-jammy-amd64-base,500000,PT42.07S,42070,11884.95,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-02T11:59:36.284042037Z,Ubuntu-2204-jammy-amd64-base,500000,PT40.124S,40124,12461.37,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-02T12:03:21.871666244Z,Ubuntu-2204-jammy-amd64-base,500000,PT40.981S,40981,12200.78,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-02T13:44:20.682548Z,Ronalds-MacBook-Pro.local,500000,PT1M3.985S,63985,7814.33,,,21+35-2513,,ref: refs/heads/feature/smart-queue,
2024-02-05T08:03:09.602206Z,Ronalds-MacBook-Pro.local,500000,PT1M38.703S,98703,5065.70,,,21+35-2513,,ref: refs/heads/v7,
2024-02-05T08:33:53.723242898Z,Ubuntu-2204-jammy-amd64-base,500000,PT38.902S,38902,12852.81,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-05T08:40:44.579789670Z,Ubuntu-2204-jammy-amd64-base,500000,PT38.368S,38368,13031.69,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-05T08:43:30.340216058Z,Ubuntu-2204-jammy-amd64-base,500000,PT42.981S,42981,11633.05,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-05T08:45:12.776774551Z,Ubuntu-2204-jammy-amd64-base,500000,PT42.147S,42147,11863.24,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-05T08:47:41.632568490Z,Ubuntu-2204-jammy-amd64-base,500000,PT39.388S,39388,12694.22,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-05T08:50:48.531098007Z,Ubuntu-2204-jammy-amd64-base,500000,PT38.576S,38576,12961.43,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-05T14:11:58.211214Z,Ronalds-MacBook-Pro.local,500000,PT1M8.208S,68208,7330.52,,,21+35-2513,,ref: refs/heads/feature/smart-queue,
2024-02-05T14:14:23.698653Z,Ronalds-MacBook-Pro.local,500000,PT1M4.823S,64823,7713.31,,,21+35-2513,,ref: refs/heads/feature/smart-queue,
2024-02-05T14:42:05.207341Z,Ronalds-MacBook-Pro.local,500000,PT1M5.572S,65572,7625.21,,,21+35-2513,,ref: refs/heads/feature/smart-queue,
2024-02-05T14:46:04.684242Z,Ronalds-MacBook-Pro.local,500000,PT1M5.291S,65291,7658.02,,,21+35-2513,,ref: refs/heads/feature/smart-queue,
2024-02-05T15:16:18.173721Z,Ronalds-MacBook-Pro.local,500000,PT56.132S,56132,8907.58,,,17.0.1+12-39,,ref: refs/heads/feature/smart-queue,
2024-02-06T10:37:09.785900Z,Ronalds-MacBook-Pro.local,500000,PT1M0.667S,60667,8241.71,,,17.0.1+12-39,,ref: refs/heads/feature/smart-queue,
2024-02-06T10:39:26.585530Z,Ronalds-MacBook-Pro.local,500000,PT58.888S,58888,8490.69,,,17.0.1+12-39,,ref: refs/heads/feature/smart-queue,
2024-02-06T10:43:58.340636500Z,Ubuntu-2204-jammy-amd64-base,500000,PT41.932S,41932,11924.07,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-06T10:47:37.117280083Z,Ubuntu-2204-jammy-amd64-base,500000,PT40.741S,40741,12272.65,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-06T10:50:19.462629512Z,Ubuntu-2204-jammy-amd64-base,500000,PT43.686S,43686,11445.31,,,17.0.10+11-LTS-240,,ref: refs/heads/feature/smart-queue,
2024-02-06T11:15:33.578349802Z,Ubuntu-2204-jammy-amd64-base,500000,PT38.754S,38754,12901.89,,,21.0.2+13-LTS-58,,ref: refs/heads/feature/smart-queue,
2024-02-08T14:16:57.613753646Z,rdehuyss-NUC,500000,PT2M8.041S,128041,3905.00,,,17.0.8+7,,ref: refs/heads/feature/smart-queue,
2024-02-08T14:36:56.525679441Z,rdehuyss-NUC,500000,PT8M34.906S,514906,971.05,,,17.0.8+7,,ref: refs/heads/v7,
